source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds004044	MRIQC-23.0.1	sub-01	ses-1	7	372846	0	0	0
ds004044	MRIQC-23.0.1	sub-02	ses-1	7	372453	0	0	0
ds004044	MRIQC-23.0.1	sub-03	ses-1	7	372406	0	0	0
ds004044	MRIQC-23.0.1	sub-04	ses-1	8	458875	0	0	0
ds004044	MRIQC-23.0.1	sub-05	ses-1	7	372565	0	0	0
ds004044	MRIQC-23.0.1	sub-06	ses-1	7	373771	0	0	0
ds004044	MRIQC-23.0.1	sub-07	ses-1	7	372766	0	0	0
ds004044	MRIQC-23.0.1	sub-08	ses-1	7	373097	0	0	0
ds004044	MRIQC-23.0.1	sub-09	ses-1	7	372793	0	0	0
ds004044	MRIQC-23.0.1	sub-10	ses-1	7	372507	0	0	0
ds004044	MRIQC-23.0.1	sub-11	ses-1	7	372745	0	0	0
ds004044	MRIQC-23.0.1	sub-12	ses-1	7	371331	0	0	0
ds004044	MRIQC-23.0.1	sub-13	ses-1	7	365725	0	0	0
ds004044	MRIQC-23.0.1	sub-14	ses-1	7	373189	0	0	0
ds004044	MRIQC-23.0.1	sub-16	ses-1	7	366320	0	0	0
ds004044	MRIQC-23.0.1	sub-17	ses-1	7	371728	0	0	0
ds004044	MRIQC-23.0.1	sub-18	ses-1	7	372777	0	0	0
ds004044	MRIQC-23.0.1	sub-20	ses-1	7	350351	0	0	0
ds004044	MRIQC-23.0.1	sub-21	ses-1	7	365421	0	0	0
ds004044	MRIQC-23.0.1	sub-22	ses-1	7	371760	0	0	0
ds004044	MRIQC-23.0.1	sub-23	ses-1	7	0	0	0	0
ds004044	MRIQC-23.0.1	sub-24	ses-1	7	372887	0	0	0
ds004044	MRIQC-23.0.1	sub-25	ses-1	7	365602	0	0	0
ds004044	MRIQC-23.0.1	sub-26	ses-1	7	372685	0	0	0
ds004044	MRIQC-23.0.1	sub-27	ses-1	7	0	0	0	0
